countries,co2_cummulative,ghg_cummulative,ghg_2010,co2_2011,change_1971_2011,change_1990_2011,total_footprint,pop_2010,gdp_ppp_2010,hdi_2011,hdi_change_1990_2011,gender_inequality_2012,maternal_2010
Eritrea,10.7,112.35,5.7,0.5,,,,5741159.0,2573.0,0.34600000000000003,,,240.0
Estonia,1177.0,495.72,22.26,19.3,,-46.5,21.2,1340161.0,22435.0,0.8440000000000001,15.93,0.158,2.0
Ethiopia,108.7,1883.67,122.69,5.9,342.3,165.1,11.3,87095281.0,77328.0,0.392,,,350.0
Fiji,36.9,37.65,2.23,,,,,860559.0,3576.0,0.7,14.01,,26.0
Finland,2514.4,1596.54,69.43,55.6,39.8,2.2,80.4,5363352.0,167926.0,0.892,11.36,0.075,5.0
France,32666.6,11218.03,545.19,328.3,-24.0,-6.9,535.7,65031235.0,1919831.0,0.893,13.9,0.083,8.0
Gabon,145.7,143.19,6.56,2.2,362.8,141.4,,1556222.0,19936.0,0.679,11.31,0.4920000000000001,230.0
Gambia,7.7,120.6,7.41,,,,,1680640.0,2964.0,0.44,36.22,0.594,360.0
Georgia,773.9,363.66,13.99,6.3,,-81.2,9.2,4452800.0,20242.0,0.74,,0.438,67.0
Germany,81194.5,21663.59,926.67,747.6,-23.6,-21.3,993.7,81776930.0,2744847.0,0.919,14.45,0.075,7.0
Ghana,181.9,453.64,26.13,10.8,460.6,299.4,,24262901.0,36062.0,0.5529999999999999,29.51,0.565,350.0
Greece,2859.1,2327.74,117.81,83.6,232.0,19.3,122.3,11307502.0,271365.0,0.862,11.66,0.136,3.0
Grenada,5.0,36.69,1.93,,,,,104677.0,983.0,0.77,,,24.0
Guatemala,245.4,639.31,35.04,10.4,356.4,225.2,16.4,14341576.0,61799.0,0.58,25.0,0.539,120.0
Guinea,50.3,362.7,19.83,,,,,10876033.0,9766.0,0.35200000000000004,,,610.0
Guinea-Bissau,7.9,38.19,2.28,,,,,1586624.0,1642.0,0.364,,,790.0
Guyana,70.8,79.71,3.87,,,,,786126.0,2108.0,0.632,25.9,0.49,280.0
Haiti,44.4,133.96,7.74,2.1,469.3,125.8,,9896400.0,9918.0,0.453,13.53,0.5920000000000001,350.0
Honduras,137.9,316.43,18.99,7.6,584.9,253.8,,7621204.0,26910.0,0.63,21.15,0.483,100.0
Hong Kong,,,,45.0,391.2,37.0,93.6,,,0.904,14.72,,
Hungary,4256.0,1642.92,69.56,47.4,-21.4,-28.6,80.3,10000023.0,169724.0,0.83,16.25,0.256,21.0
Iceland,95.5,66.14,4.25,1.9,32.5,-1.7,,318041.0,10417.0,0.905,11.04,0.08900000000000001,5.0
India,28824.4,33886.34,2326.19,1745.1,771.7,199.7,1572.2,1205624648.0,3763497.0,0.551,34.39,0.61,200.0
Indonesia,6959.5,13079.53,823.41,425.9,1595.0,191.6,358.7,240676485.0,932061.0,0.624,30.27,0.494,220.0
Iran,8630.1,10102.21,727.0,521.0,1150.5,191.6,465.7,74462314.0,,0.742,37.41,0.496,21.0
Iraq,2444.8,3547.03,221.68,108.3,946.0,102.7,,30962380.0,101258.0,0.583,,0.557,63.0
Ireland,1700.8,1302.05,61.69,34.9,60.9,14.6,71.7,4474356.0,164735.0,0.915,15.38,0.121,6.0
Israel,1553.3,1437.35,89.45,67.2,366.5,100.5,,7623600.0,199719.0,0.899,11.12,0.14400000000000002,7.0
Italy,19269.2,11043.32,514.62,393.0,34.1,-1.1,611.5,60483385.0,1636626.0,0.8809999999999999,14.27,0.094,4.0
Jamaica,337.8,273.21,12.88,7.6,37.7,5.8,,2701200.0,18919.0,0.7290000000000001,13.55,0.458,110.0
Japan,45629.1,27492.7,1298.89,1186.0,56.3,11.7,1516.0,127450459.0,3954755.0,0.91,8.72,0.131,5.0
Jordan,394.0,455.14,25.71,19.8,1380.3,114.1,,6046000.0,31744.0,0.6990000000000001,18.07,0.482,63.0
Kazakhstan,10564.9,5065.31,245.43,234.2,,-0.9,175.4,16323287.0,178264.0,0.75,,0.312,51.0
Kenya,317.0,771.26,46.44,11.6,261.6,111.4,,40909194.0,60203.0,0.515,11.23,0.608,360.0
Kiribati,1.1,0.99,0.08,,,,,97743.0,205.0,0.627,,,
Korea (North),4052.1,2236.39,92.18,64.8,-4.0,-43.1,,24500520.0,,,,,
Korea (South),10409.2,10335.25,678.32,587.7,1028.8,156.3,609.3,49410000.0,1322905.0,0.907,21.09,0.153,16.0
Kuwait,1676.1,2999.93,196.5,84.7,503.5,195.1,,2991580.0,117878.0,0.7879999999999999,10.67,0.274,14.0
Kyrgyzstan,631.1,243.53,10.97,6.7,,-70.3,9.8,5447900.0,11039.0,0.621,1.97,0.35700000000000004,71.0
Laos,23.2,354.0,21.37,,,,2.7,6395713.0,14340.0,0.5379999999999999,41.95,0.483,470.0
Latvia,636.3,286.28,12.1,7.6,,-59.3,14.4,2239008.0,28626.0,0.809,15.74,0.21600000000000005,34.0
Lebanon,447.2,374.4,22.66,18.5,307.9,238.7,,4341092.0,53347.0,0.7440000000000001,,0.433,25.0
Lesotho,4.9,46.82,2.74,,,,,2008921.0,3218.0,0.456,-3.8,0.534,620.0
Liberia,39.7,27.56,1.63,,,,,3957990.0,1950.0,0.381,,0.6579999999999999,770.0
Libya,1276.6,2368.71,142.72,34.9,835.2,27.6,,6040612.0,,0.725,,0.21600000000000005,58.0
Lithuania,1092.5,532.65,22.88,13.2,,-60.1,19.6,3286820.0,51140.0,0.8140000000000001,11.2,0.157,8.0
Luxembourg,686.1,235.0,13.59,10.4,-32.4,0.7,16.5,506953.0,34817.0,0.875,9.92,0.149,20.0
"Macedonia, FYR",399.7,256.4,11.36,,,,,2102216.0,19139.0,0.738,,0.162,10.0
