,co2_emissions,ghg_emissions,ghg_2010 emissions,co2_2011_emissions,change_1971_2011,change_1990_2011,total_footprint,pop_2010,gdp_ppp_2010,hdi_2011,hdi_change_1990_2011,gender_inequality_2012,maternal_2010
Fiji,36.9,37.65,2.23,,,,,"860,559",3576,0.7,14.01,,26
Finland,"2,514.40",1596.54,69.43,  55.6,39.8,2.2,80.4,"5,363,352",167926,0.892,11.36,0.075,5
France,"32,666.60",11218.03,545.19,  328.3,-24.0,-6.9,535.7,"65,031,235",1919831,0.893,13.90,0.083,8
Gabon,145.7,143.19,6.56,  2.2,362.8,141.4,,"1,556,222",19936,0.679,11.31,0.492,230
Gambia,7.7,120.60,7.41,,,,,"1,680,640",2964,0.44,36.22,0.594,360
Georgia,773.9,363.66,13.99,  6.3,,-81.2,9.2,"4,452,800",20242,0.74,,0.438,67
Germany,"81,194.50",21663.59,926.67,  747.6,-23.6,-21.3,993.7,"81,776,930",2744847,0.919,14.45,0.075,7
Ghana,181.9,453.64,26.13,  10.8,460.6,299.4,,"24,262,901",36062,0.553,29.51,0.565,350
Greece,"2,859.10",2327.74,117.81,  83.6,232.0,19.3,122.3,"11,307,502",271365,0.862,11.66,0.136,3
Grenada,5,36.69,1.93,,,,,"104,677",983,0.77,,,24
Guatemala,245.4,639.31,35.04,  10.4,356.4,225.2,16.4,"14,341,576",61799,0.58,25.00,0.539,120
Guinea,50.3,362.70,19.83,,,,,"10,876,033",9766,0.352,,,610
Guinea-Bissau,7.9,38.19,2.28,,,,,"1,586,624",1642,0.364,,,790
Guyana,70.8,79.71,3.87,,,,,"786,126",2108,0.632,25.90,0.49,280
Haiti,44.4,133.96,7.74,  2.1,469.3,125.8,,"9,896,400",9918,0.453,13.53,0.592,350
Honduras,137.9,316.43,18.99,  7.6,584.9,253.8,,"7,621,204",26910,0.63,21.15,0.483,100
Hong Kong,,,,  45.0,391.2,37.0,93.6,,,0.904,14.72,,
Hungary,"4,256.00",1642.92,69.56,  47.4,-21.4,-28.6,80.3,"10,000,023",169724,0.83,16.25,0.256,21
Iceland,95.5,66.14,4.25,  1.9,32.5,-1.7,,"318,041",10417,0.905,11.04,0.089,5
India,"28,824.40",33886.34,2326.19, 1 745.1,771.7,199.7,1572.2,"1,205,624,648",3763497,0.551,34.39,0.61,200
Indonesia,"6,959.50",13079.53,823.41,  425.9,1595.0,191.6,358.7,"240,676,485",932061,0.624,30.27,0.494,220
Iran,"8,630.10",10102.21,727.00,  521.0,1150.5,191.6,465.7,"74,462,314",,0.742,37.41,0.496,21
Iraq,"2,444.80",3547.03,221.68,  108.3,946.0,102.7,,"30,962,380",101258,0.583,,0.557,63
Ireland,"1,700.80",1302.05,61.69,  34.9,60.9,14.6,71.7,"4,474,356",164735,0.915,15.38,0.121,6
Israel,"1,553.30",1437.35,89.45,  67.2,366.5,100.5,,"7,623,600",199719,0.899,11.12,0.144,7
Italy,"19,269.20",11043.32,514.62,  393.0,34.1,-1.1,611.5,"60,483,385",1636626,0.881,14.27,0.094,4
Jamaica,337.8,273.21,12.88,  7.6,37.7,5.8,,"2,701,200",18919,0.729,13.55,0.458,110
Japan,"45,629.10",27492.70,1298.89, 1 186.0,56.3,11.7,1516.0,"127,450,459",3954755,0.91,8.72,0.131,5
Jordan,394,455.14,25.71,  19.8,1380.3,114.1,,"6,046,000",31744,0.699,18.07,0.482,63
Kazakhstan,"10,564.90",5065.31,245.43,  234.2,,-0.9,175.4,"16,323,287",178264,0.75,,0.312,51
Kenya,317,771.26,46.44,  11.6,261.6,111.4,,"40,909,194",60203,0.515,11.23,0.608,360
Kiribati,1.1,0.99,0.08,,,,,"97,743",205,0.627,,,
Korea (North),"4,052.10",2236.39,92.18,  64.8,-4.0,-43.1,,"24,500,520",,,,,
Korea (South),"10,409.20",10335.25,678.32,  587.7,1028.8,156.3,609.3,"49,410,000",1322905,0.907,21.09,0.153,16
Kuwait,"1,676.10",2999.93,196.50,  84.7,503.5,195.1,,"2,991,580",117878,0.788,10.67,0.274,14
Kyrgyzstan,631.1,243.53,10.97,  6.7,,-70.3,9.8,"5,447,900",11039,0.621,1.97,0.357,71
Laos,23.2,354.00,21.37,,,,2.7,"6,395,713",14340,0.538,41.95,0.483,470
Latvia,636.3,286.28,12.10,  7.6,,-59.3,14.4,"2,239,008",28626,0.809,15.74,0.216,34
Lebanon,447.2,374.40,22.66,  18.5,307.9,238.7,,"4,341,092",53347,0.744,,0.433,25
Lesotho,4.9,46.82,2.74,,,,,"2,008,921",3218,0.456,-3.80,0.534,620
Liberia,39.7,27.56,1.63,,,,,"3,957,990",1950,0.381,,0.658,770
Libya,"1,276.60",2368.71,142.72,  34.9,835.2,27.6,,"6,040,612",,0.725,,0.216,58
Lithuania,"1,092.50",532.65,22.88,  13.2,,-60.1,19.6,"3,286,820",51140,0.814,11.20,0.157,8
Luxembourg,686.1,235.00,13.59,  10.4,-32.4,0.7,16.5,"506,953",34817,0.875,9.92,0.149,20
"Macedonia, FYR",399.7,256.40,11.36,,,,,"2,102,216",19139,0.738,,0.162,10
Madagascar,61.4,763.64,48.32,,,,4.5,"21,079,532",17899,0.483,,,240
Malawi,34.5,265.46,17.34,,,,2.2,"15,013,694",11628,0.415,40.68,0.573,460
Malaysia,"2,778.40",4318.60,287.32,  194.0,1427.7,290.7,174.2,"28,275,835",389260,0.766,20.63,0.256,29
Maldives,9.1,12.71,1.15,,,,,"325,694",2390,0.687,,0.357,60
Mali,18.6,405.82,25.81,,,,,"13,985,961",15316,0.347,70.10,0.649,540
Malta,73.8,63.73,8.55,  2.5,281.2,8.2,6.3,"415,995",9442,0.846,11.76,0.236,8
Mauritania,59,175.20,9.07,,,,6.6,"3,609,420",7617,0.464,29.97,0.643,510
Mauritius,63.2,86.38,6.46,,,,,"1,280,924",16270,0.735,17.41,0.377,60
Mexico,"12,242.80",11772.12,688.25,  432.3,345.4,63.0,529.2,"117,886,404",1412210,0.773,18.20,0.382,50
Moldova,888.9,335.92,11.01,  7.9,,-73.9,,"3,562,062",10165,0.657,1.08,0.303,41
Mongolia,350.7,478.01,23.49,  13.0,,3.0,,"2,712,738",9977,0.668,19.50,0.328,63
Morocco,969.5,1304.53,81.16,  50.2,633.2,155.4,53.2,"31,642,360",137247,0.589,33.86,0.444,100
Mozambique,107.2,486.38,26.17,  2.8,-1.4,163.0,5.7,"23,967,265",19295,0.322,59.41,0.582,490
Myanmar,332.5,3452.03,163.56,  8.3,80.5,103.8,15.8,"51,931,231",,0.494,61.97,0.437,200
Namibia,36.3,249.64,15.73,  3.1,,,,"2,178,967",13274,0.606,6.50,0.455,200
Nauru,5,3.15,0.19,,,,,"9,267",,,,,
Nepal,55,653.33,36.71,  4.1,2060.2,359.1,,"26,846,016",32335,0.46,34.90,0.485,170
Netherlands,"9,431.80",4688.75,285.84,  174.5,34.6,12.0,215.4,"16,615,394",613526,0.921,9.38,0.045,6
New Zealand,"1,370.30",1429.64,76.95,  30.3,120.7,35.8,37.8,"4,367,800",109418,0.918,9.94,0.164,15
Nicaragua,111.8,265.91,17.44,  4.5,207.3,147.1,5.8,"5,822,209",18955,0.597,24.63,0.461,95
Niger,30.2,272.47,19.38,,,,,"15,893,746",8643,0.297,50.00,0.707,590
Nigeria,"2,321.10",5848.25,309.94,  52.8,795.1,81.3,72.9,"159,707,780",338523,0.467,,,630
Niue,0.1,0.78,0.05,,,,,"1,354",,,,,
Norway,"1,878.00",1051.21,55.72,  38.1,62.1,34.7,71.3,"4,889,252",228689,0.953,11.85,0.065,7
Oman,451.9,1301.44,90.41,  63.5,24913.6,520.2,,"2,802,768",69377,0.729,,,64
Pakistan,"2,644.90",4741.19,313.48,  136.3,721.2,132.6,190.9,"173,149,306",416107,0.513,33.94,0.34,32
Palau,2.4,4.13,0.29,,,,,"20,470",304,0.786,,0.567,260
Panama,173.5,235.76,23.36,  9.4,271.0,266.3,5.4,"3,678,128",44448,0.776,16.52,0.503,92
Papua New Guinea,91.7,231.94,10.95,,,,,"6,858,945",15207,0.462,25.54,0.617,230
Paraguay,94.6,769.77,40.07,  4.9,761.1,156.3,6.1,"6,459,721",34319,0.67,15.92,0.472,99
Peru,"1,137.40",1262.89,79.73,  44.7,187.1,132.7,47.9,"29,262,830",248772,0.738,19.22,0.387,67
Philippines,"2,058.70",2536.67,148.93,  77.1,234.7,101.7,93.9,"93,444,322",332055,0.651,12.05,0.418,99
Poland,"22,664.50",8394.13,377.30,  300.0,4.6,-12.3,284.5,"38,183,683",663337,0.819,,0.14,5
Portugal,"1,878.50",1590.50,80.03,  48.1,232.8,22.4,110.5,"10,637,346",231678,0.817,14.43,0.114,8
Qatar,664.3,743.46,74.69,  71.4,3105.0,399.8,,"1,749,713",122899,0.832,11.98,0.546,7
